GAME-ID,DATE,OPENING SPREAD,OPENING TOTAL,CLOSING SPREAD,CLOSING TOTAL,PACE,team,home_away,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOTR,Assists,PF,ST,TO,total_TO,BL,PTS,opp_PTS,POSS,OEFF,DEFF,rest_days,EFG,OREB,FTR,TOVR,opp_EFG,opp_OREB,opp_FTR,opp_TOVR,opp_team,opp_FG,opp_FGA,opp_3P,opp_3PA,opp_FT,opp_FTA,opp_OR,opp_DR,opp_TOT,opp_A,opp_PF,opp_ST,opp_TO,opp_total_TO,opp_BL,opp_POSS,opp_OEFF,opp_DEFF,opp_rest_days,win,EFG_diff
21800001,10/16/2018,-5,208.5,-4.5,211.5,104.765695,Boston,H,42,97,11,37,10,14,12,43,55,21,20,7,14,15,5,105,87,104.765695,100.2236466,83.04245008,3+,0.489690722,0.226415094,0.103092784,0.126946513,0.41954023,0.12244898,0.16091954,0.141442716,Philadelphia,34,87,5,26,14,23,6,41,47,18,20,8,16,16,5,104.765695,83.04245008,100.2236466,3+,1,0.070150492
21800002,10/16/2018,-11.5,223.5,-12,220.5,102.8108028,Golden State,H,42,95,7,26,17,18,17,41,58,28,29,7,21,21,7,108,100,102.8108028,105.0473268,97.26604331,3+,0.478947368,0.369565217,0.178947368,0.16946417,0.417582418,0.280701754,0.263736264,0.122669284,Oklahoma City,33,91,10,37,24,37,16,29,45,21,21,12,14,15,6,102.8108028,97.26604331,105.0473268,3+,1,0.061364951
21800003,10/17/2018,1.5,217,3,222,102.5501818,Charlotte,H,41,92,16,38,14,22,9,32,41,21,19,8,11,11,9,112,113,102.5501818,109.2148234,110.1899558,3+,0.532608696,0.163636364,0.152173913,0.097621583,0.576470588,0.255813953,0.176470588,0.182926829,Milwaukee,42,85,14,34,15,20,11,46,57,26,25,5,21,21,4,102.5501818,110.1899558,109.2148234,3+,0,-0.043861893
21800004,10/17/2018,-4.5,212,-6,213,102.4933052,Detroit,H,39,92,6,24,19,22,14,32,46,21,20,5,14,17,5,103,100,102.4933052,100.4943687,97.56734825,3+,0.456521739,0.291666667,0.206521739,0.143242332,0.518292683,0.135135135,0.182926829,0.171666064,Brooklyn,40,82,5,27,15,22,5,34,39,28,23,9,17,19,5,102.4933052,97.56734825,100.4943687,3+,1,-0.061770944
21800005,10/17/2018,-7,209,-7.5,204.5,95.00343137,Indiana,H,47,83,10,26,7,13,13,44,57,29,24,2,20,20,7,111,83,95.00343137,116.8378851,87.36526544,3+,0.626506024,0.382352941,0.084337349,0.183958793,0.357142857,0.137254902,0.273809524,0.094055681,Memphis,25,84,10,29,23,28,7,21,28,16,18,11,7,10,3,95.00343137,87.36526544,116.8378851,3+,1,0.269363167
21800006,10/17/2018,2,210.5,2.5,208,104.0129827,Orlando,H,39,94,7,25,19,31,14,37,51,20,25,7,12,12,7,104,101,104.0129827,99.98751824,97.1032629,3+,0.45212766,0.269230769,0.20212766,0.100300903,0.43814433,0.274509804,0.164948454,0.137451488,Miami,38,97,9,33,16,22,14,38,52,16,28,4,16,17,5,104.0129827,97.1032629,99.98751824,3+,1,0.01398333
21800007,10/17/2018,-3.5,213.5,-4,216.5,114.0136919,New York,H,45,99,12,33,24,31,10,36,46,21,23,12,15,16,6,126,107,114.0136919,110.5130427,93.84837755,3+,0.515151515,0.208333333,0.242424242,0.124378109,0.511111111,0.162790698,0.166666667,0.196850394,Atlanta,41,90,10,36,15,18,7,38,45,19,30,7,24,24,3,114.0136919,93.84837755,110.5130427,3+,1,0.004040404
21800008,10/17/2018,-11.5,214,-12.5,215.5,100.8261462,Toronto,H,45,92,14,33,12,20,8,35,43,21,29,6,9,10,7,116,104,100.8261462,115.0495228,103.147848,3+,0.565217391,0.186046512,0.130434783,0.090252708,0.441176471,0.285714286,0.341176471,0.135409614,Cleveland,34,85,7,19,29,39,14,35,49,17,25,4,16,16,0,100.8261462,103.147848,115.0495228,3+,1,0.124040921
21800009,10/17/2018,-7.5,229.5,-8,233,103.4616085,Houston,H,39,92,16,48,18,24,8,29,37,21,22,8,11,12,7,112,131,103.4616085,108.2527148,126.6170146,3+,0.510869565,0.166666667,0.195652174,0.104748603,0.581632653,0.325581395,0.173469388,0.10026738,New Orleans,52,98,10,25,17,22,14,40,54,36,25,8,12,12,3,103.4616085,126.6170146,108.2527148,3+,0,-0.070763088
21800010,10/17/2018,-1,210.5,-2.5,212,95.84956404,San Antonio,H,40,93,11,25,21,29,19,33,52,22,22,3,12,12,4,112,108,95.84956404,116.8497751,112.6765688,3+,0.489247312,0.37254902,0.225806452,0.101902174,0.461538462,0.29787234,0.263736264,0.096592905,Minnesota,39,91,6,19,24,27,14,32,46,20,27,9,11,11,2,95.84956404,112.6765688,116.8497751,3+,1,0.02770885
21800011,10/17/2018,7.5,208,8.5,205.5,105.6561118,Sacramento,H,49,95,7,19,12,18,5,32,37,17,27,8,9,9,3,117,123,105.6561118,110.7366134,116.415414,3+,0.552631579,0.113636364,0.126315789,0.080414582,0.601265823,0.135135135,0.35443038,0.150816182,Utah,41,79,13,27,28,38,5,39,44,21,19,8,17,17,4,105.6561118,116.415414,110.7366134,3+,0,-0.048634244
21800012,10/17/2018,0,227,2,222.5,100.4180995,LA Clippers,H,35,88,8,28,20,24,9,38,47,21,32,3,12,14,9,98,107,100.4180995,97.59196842,106.5544961,3+,0.443181818,0.176470588,0.227272727,0.124378109,0.425287356,0.269230769,0.379310345,0.094436813,Denver,33,87,8,24,33,42,14,42,56,20,22,6,10,11,9,100.4180995,106.5544961,97.59196842,3+,0,0.017894462
21800013,10/17/2018,-1,215,2.5,212.5,93.13384804,Phoenix,H,44,81,19,34,14,16,6,38,44,35,22,5,11,12,2,121,100,93.13384804,129.9205418,107.3723486,3+,0.660493827,0.176470588,0.172839506,0.119952019,0.488636364,0.208333333,0.159090909,0.085066163,Dallas,38,88,10,33,14,20,10,28,38,28,16,7,9,9,5,93.13384804,107.3723486,129.9205418,3+,1,0.171857464
21800014,10/18/2018,-11,215,-12.5,221,108.3801542,Philadelphia,H,44,93,12,36,27,30,11,44,55,30,17,10,13,13,8,127,108,108.3801542,117.1801249,99.64924003,1,0.537634409,0.244444444,0.290322581,0.109060403,0.49009901,0.102040816,0.089108911,0.101454177,Chicago,44,101,11,33,9,12,5,34,39,28,23,4,12,12,6,108.3801542,99.64924003,117.1801249,3+,1,0.047535399
21800015,10/18/2018,-4,212,-6,215,103.448125,Washington,H,38,81,7,26,29,39,7,33,40,19,31,7,14,14,15,112,113,103.448125,108.2668246,109.2334926,3+,0.512345679,0.175,0.358024691,0.124821683,0.453608247,0.4,0.257731959,0.145082468,Miami,38,97,12,35,25,34,22,33,55,25,26,6,16,19,5,103.448125,109.2334926,108.2668246,B2B,0,0.058737432
21800016,10/18/2018,-2.5,222,-3,224,111.7538462,Portland,H,44,100,13,37,27,29,14,40,54,21,26,9,16,17,10,128,119,111.7538462,114.5374449,106.4840308,3+,0.505,0.269230769,0.27,0.131011097,0.521505376,0.166666667,0.23655914,0.124213316,LA Lakers,45,93,7,30,22,29,8,38,46,23,26,10,15,15,6,111.7538462,106.4840308,114.5374449,3+,1,-0.016505376
21800017,10/19/2018,0,217,1.5,215.5,102.8802727,Orlando,H,36,94,6,31,10,14,12,32,44,18,16,8,15,18,7,88,120,102.8802727,85.53632068,116.6404373,1,0.414893617,0.218181818,0.106382979,0.152335816,0.559782609,0.272727273,0.184782609,0.136986301,Charlotte,43,92,17,38,17,20,12,43,55,32,17,6,15,16,4,102.8802727,116.6404373,85.53632068,1,0,-0.144888992
21800018,10/19/2018,-3,218.5,-4,222,93.75315152,Brooklyn,H,37,75,12,30,21,24,12,43,55,22,23,2,22,22,6,107,105,93.75315152,114.1294967,111.9962351,1,0.573333333,0.333333333,0.28,0.204537003,0.448453608,0.218181818,0.18556701,0.027573529,New York,39,97,9,28,18,20,12,24,36,14,19,10,3,3,1,93.75315152,111.9962351,114.1294967,1,1,0.124879725
21800019,10/19/2018,-3,206,-3,209.5,99.28027673,Toronto,H,43,92,13,35,14,19,12,37,49,24,19,3,12,13,3,113,101,99.28027673,113.8191831,101.7321902,1,0.538043478,0.266666667,0.152173913,0.114678899,0.474747475,0.301886792,0.070707071,0.13400335,Boston,40,99,14,36,7,10,16,33,49,29,27,4,14,16,6,99.28027673,101.7321902,113.8191831,2,1,0.063296004
21800020,10/19/2018,-6.5,208.5,-7,217,106.4583056,Memphis,H,44,81,13,26,30,43,7,34,41,32,29,9,16,17,4,131,117,106.4583056,123.0528697,109.9021813,1,0.62345679,0.194444444,0.37037037,0.145398563,0.578313253,0.244444444,0.253012048,0.161235574,Atlanta,41,83,14,30,21,36,11,29,40,27,31,9,19,19,5,106.4583056,109.9021813,123.0528697,1,1,0.045143537
21800021,10/19/2018,-8,223.5,-8.5,223,103.9038811,Minnesota,H,44,87,10,25,33,35,9,31,40,28,21,9,13,14,7,131,123,103.9038811,126.0780623,118.3786387,1,0.563218391,0.230769231,0.379310345,0.120274914,0.52688172,0.295454545,0.268817204,0.116900468,Cleveland,45,93,8,23,25,29,13,30,43,26,24,5,14,14,2,103.9038811,118.3786387,126.0780623,1,1,0.03633667
21800022,10/19/2018,-10.5,228,-11.5,232.5,111.3183673,New Orleans,H,56,95,16,31,21,33,12,40,52,35,25,6,16,16,4,149,129,111.3183673,133.8503282,115.8838412,1,0.673684211,0.285714286,0.221052632,0.127469726,0.572916667,0.183673469,0.197916667,0.107937562,Sacramento,50,96,10,25,19,26,9,30,39,24,26,6,13,13,2,111.3183673,115.8838412,133.8503282,1,1,0.100767544
21800023,10/19/2018,-3,214.5,-3.5,217,104.9785247,Milwaukee,H,44,93,17,46,13,21,11,39,50,27,26,9,17,17,8,118,101,104.9785247,112.403942,96.21015372,1,0.564516129,0.255813953,0.139784946,0.142569608,0.471264368,0.1875,0.218390805,0.146703486,Indiana,38,87,6,18,19,27,9,32,41,14,25,7,17,17,3,104.9785247,96.21015372,112.403942,1,1,0.093251761
21800024,10/19/2018,2,218,2.5,217.5,103.5566667,Utah,H,40,89,19,46,24,29,10,28,38,24,19,11,16,17,4,123,124,103.5566667,118.7755496,119.7412045,1,0.556179775,0.222222222,0.269662921,0.14314584,0.620689655,0.222222222,0.183908046,0.144248107,Golden State,49,87,10,19,16,18,8,35,43,27,23,10,16,16,6,103.5566667,119.7412045,118.7755496,2,0,-0.06450988
21800025,10/19/2018,-1.5,215.5,-3,214,99.32750903,LA Clippers,H,35,81,11,26,27,36,10,38,48,21,24,3,14,15,3,108,92,99.32750903,108.7312075,92.62288051,1,0.5,0.212765957,0.333333333,0.134120172,0.394736842,0.283018868,0.178947368,0.110057569,Oklahoma City,34,95,7,33,17,23,15,37,52,18,29,5,12,13,4,99.32750903,92.62288051,108.7312075,2,1,0.105263158
21800026,10/20/2018,-9,210.5,-8,214.5,102.3942308,Indiana,H,51,92,16,24,14,22,10,30,40,21,18,12,10,11,5,132,112,102.3942308,128.913513,109.3811626,3IN4-B2B,0.641304348,0.243902439,0.152173913,0.097621583,0.569767442,0.230769231,0.162790698,0.172890733,Brooklyn,41,86,16,37,14,22,9,31,40,25,18,6,20,20,6,102.3942308,109.3811626,128.913513,3IN4-B2B,1,0.071536906
21800027,10/20/2018,1,216.5,-2,219.5,102.0344326,Washington,H,37,89,13,39,26,32,9,28,37,20,27,11,11,11,9,113,117,102.0344326,110.7469284,114.6671736,1,0.488764045,0.191489362,0.292134831,0.096423562,0.5,0.333333333,0.329545455,0.140681893,Toronto,39,88,10,29,29,36,14,38,52,21,29,5,17,17,5,102.0344326,114.6671736,110.7469284,3IN4-B2B,0,-0.011235955
21800028,10/20/2018,8,211.5,9.5,210.5,99.34534459,New York,H,36,87,12,35,17,27,11,35,46,23,25,8,16,16,1,101,103,99.34534459,101.6655591,103.6787385,3IN4-B2B,0.482758621,0.234042553,0.195402299,0.139275766,0.457317073,0.239130435,0.341463415,0.134505022,Boston,33,82,9,25,28,33,11,36,47,21,26,8,15,15,2,99.34534459,103.6787385,101.6655591,B2B,0,0.025441548
21800029,10/20/2018,-11.5,217,-12.5,217.5,96.49138076,Philadelphia,H,45,94,17,33,9,10,13,33,46,33,21,8,10,10,3,116,115,96.49138076,120.2179916,119.1816296,1,0.569148936,0.270833333,0.095744681,0.092250923,0.544444444,0.29787234,0.188888889,0.138312586,Orlando,41,90,16,29,17,22,14,35,49,31,15,7,14,16,7,96.49138076,119.1816296,120.2179916,3IN4-B2B,1,0.024704492
21800030,10/20/2018,-5,216.5,-3.5,220.5,100.4829388,Miami,H,41,89,11,34,19,27,12,37,49,21,27,4,15,16,11,112,113,100.4829388,111.4617082,112.456902,3IN4,0.52247191,0.3,0.213483146,0.136892539,0.52688172,0.244897959,0.161290323,0.104239055,Charlotte,41,93,16,42,15,23,12,28,40,23,27,6,11,12,12,100.4829388,112.456902,111.4617082,3IN4-B2B,0,-0.00440981
21800031,10/20/2018,2.5,214,5,217,100.4048611,Chicago,H,44,87,7,21,21,26,5,36,41,26,20,4,11,11,3,116,118,100.4048611,115.5322548,117.5241903,1,0.545977011,0.138888889,0.24137931,0.100511696,0.495049505,0.333333333,0.178217822,0.082562748,Detroit,41,101,18,40,18,23,18,31,49,21,23,4,9,10,4,100.4048611,117.5241903,115.5322548,2,0,0.050927507
21800032,10/20/2018,2.5,216,-2,220.5,109.0465909,Dallas,H,49,98,17,50,25,34,15,27,42,29,28,8,16,16,8,140,136,109.0465909,128.3854899,124.7173331,2,0.586734694,0.357142857,0.255102041,0.124069479,0.607142857,0.181818182,0.404761905,0.143338954,Minnesota,44,84,14,27,34,40,6,27,33,23,30,10,17,17,3,109.0465909,124.7173331,128.3854899,3IN4-B2B,1,-0.020408163
21800033,10/20/2018,-9,223,-10.5,224.5,102.4455245,Denver,H,43,85,9,28,24,29,9,45,54,28,31,12,18,18,6,119,91,102.4455245,116.159296,88.82769693,2,0.558823529,0.230769231,0.282352941,0.155494126,0.448051948,0.181818182,0.285714286,0.170556553,Phoenix,29,77,11,39,22,35,10,30,40,20,26,6,19,19,4,102.4455245,88.82769693,116.159296,2,1,0.110771581
21800034,10/20/2018,-4,213,-5,214,93.75974271,Portland,H,45,84,15,32,16,19,8,38,46,24,14,5,12,12,3,121,108,93.75974271,129.0532552,115.1880294,1,0.625,0.242424242,0.19047619,0.114986585,0.485,0.283018868,0.11,0.053495007,San Antonio,42,100,13,30,11,14,15,25,40,29,17,5,6,6,4,93.75974271,115.1880294,129.0532552,2,1,0.14
21800035,10/20/2018,2,235,3.5,237.5,109.5578167,LA Lakers,H,48,100,8,32,11,18,9,35,44,28,21,8,10,11,10,115,124,109.5578167,104.9674076,113.1822482,1,0.52,0.18,0.11,0.092499159,0.541666667,0.270833333,0.208333333,0.141509434,Houston,44,96,16,42,20,30,13,41,54,22,21,7,16,18,4,109.5578167,113.1822482,104.9674076,2,0,-0.021666667
21800036,10/21/2018,-5.5,226.5,-8,232.5,105.9946628,Cleveland,H,46,99,10,27,9,14,15,34,49,23,25,5,18,18,2,111,133,105.9946628,104.722254,125.4780161,1,0.515151515,0.3,0.090909091,0.146151348,0.602040816,0.209302326,0.153061224,0.101385603,Atlanta,48,98,22,47,15,19,9,35,44,32,21,9,12,12,7,105.9946628,125.4780161,104.722254,1,0,-0.086889301
21800037,10/21/2018,-8.5,219.5,-10.5,222.5,111.5095128,Oklahoma City,H,46,104,9,39,19,30,18,33,51,23,29,11,18,18,9,120,131,111.5095128,107.6141371,117.4787663,1,0.485576923,0.346153846,0.182692308,0.133136095,0.604395604,0.266666667,0.230769231,0.162179695,Sacramento,50,91,10,22,21,28,12,34,46,28,26,11,17,20,7,111.5095128,117.4787663,107.6141371,1,0,-0.118818681
21800038,10/21/2018,3,230,4.5,230.5,99.20233511,Denver,H,35,86,6,32,24,42,13,34,47,21,22,11,8,10,4,100,98,99.20233511,100.8040787,98.78799717,B2B,0.441860465,0.276595745,0.279069767,0.087351502,0.5,0.15,0.240506329,0.175018423,Golden State,36,79,7,29,19,24,6,34,40,22,29,4,18,19,6,99.20233511,98.78799717,100.8040787,1,1,-0.058139535
21800039,10/21/2018,2.5,225,-2.5,220.5,98.90653432,LA Clippers,H,42,89,5,25,26,26,12,37,49,22,16,8,13,13,7,115,112,98.90653432,116.2713877,113.2382211,1,0.5,0.292682927,0.292134831,0.114598025,0.56741573,0.139534884,0.123595506,0.111524164,Houston,43,89,15,35,11,15,6,29,35,28,23,6,12,12,6,98.90653432,113.2382211,116.2713877,B2B,1,-0.06741573
21800040,10/22/2018,-12,212,-11,211.5,96.3918,Boston,H,37,91,9,40,7,9,9,42,51,21,15,6,12,12,3,90,93,96.3918,93.36893802,96.48123596,3IN4,0.456043956,0.18,0.076923077,0.112191473,0.462365591,0.16,0.075268817,0.084586466,Orlando,38,93,10,35,7,10,8,41,49,28,15,6,9,9,2,96.3918,96.48123596,93.36893802,3IN4,0,-0.006321635
